id,name,shares,comments,content,posted_on,image,post_url,image_content
pfbid02wtj8Rc35ybMixkEdpe8N529KTWPXVyk9yUvLNnpYBnNTuJAdMwRxqdwCuZwB2xnFl,Alhadath Yemen الحدث اليمني,1,23,خلال إطلاق تقرير المسح‎ العنقودي.. رئيس الوزراء معين عبدالملك: ما قامت به #ميليشيات_الحوثي أسوأ كارثة حلت بالبلد خلال 50 عاماً #الحدث_اليمني,2023-11-12:22:51,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 7 3 0 7 5 6 6 _ 8 6 7 2 4 6 1 8 8 4 3 0 4 3 7 _ 6 3 3 5 7 7 6 8 7 1 2 7 2 9 9 2 2 6 9 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = B n _ y z y 4 D p x 0 A X 8 I E 7 S 6 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D 6 R e g F l - F 2 8 a D 7 9 9 X j T 4 0 a A A Z 2 r 4 M E l G G F C Q Z Q e s l x K Q & o e = 6 5 5 5 A 1 6 B,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02wtj8Rc35ybMixkEdpe8N529KTWPXVyk9yUvLNnpYBnNTuJAdMwRxqdwCuZwB2xnFl?__cft__[0]=AZV-EWRnqkGjRcs6NjH58KJwed6iFyaXg5tkllV5GOHa3UA8zl_9kxI198nsR2rxdlyg7HxWbpGYDwGVK4YxbzpielAlR0T691ld2Iy1NGKGSrz5tANjpS1qggZ-2bhDYZX3Rt8uHKKi5wqrPA4rDRXcOJEw3dNEGXk12tMC1OvLrI3enfb_-morNP478QyLpSI-3bOnQOj9s3r5TBq82XiH&__tn__=%2CO%2CP-R,لم 2 B‏ العنق - A K. r‏ اعم يك َ7 | رئيس الحكومة: أسواكارتة_ #
pfbid02MfPxRJi99SuJ6F8HGaWQiNiSk25KD6bABW7MRbDeSY3NHCtJcRefkTrKESTUzNtEl,Alhadath Yemen الحدث اليمني,6,12,"برعاية محافظ #صنعاء عبدالقوي شُريف.. أولياء دم المرحوم محمد علي معوضة يعفون ""لوجه الله"" عن القاتل صالح محمد الأعمش بعد وساطة قبلية استمرت لأيام شارك فيها مشايخ ""بني ضبيان"" و ""مراد وعبيدة وجهم وخولان والجدعان"" لتنهي خلافاً معقداً استمر 4 سنوات#الحدث_اليمني",2023-11-12:22:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 5 6 7 8 9 7 _ 6 5 7 3 3 7 4 6 3 1 8 0 9 4 7 _ 5 5 5 3 2 5 3 1 9 4 0 4 1 5 5 2 1 1 2 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = 3 5 9 T s O x U T B M A X 9 V N 0 d c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D e B b X u J o i Q M 0 6 P z s n m O _ A I A R X T t V M s I R h a N V s 2 V d H A c g & o e = 6 5 5 6 2 4 B F,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02MfPxRJi99SuJ6F8HGaWQiNiSk25KD6bABW7MRbDeSY3NHCtJcRefkTrKESTUzNtEl?__cft__[0]=AZVAG5VS1_c8Txve0k4_yMX8OpDV7oJOhNr_33l7XCCiivnP72IFeFrglhHGYzHCGhGndhgE17x23IjeykInWr3-ZVcVbh53aAwOmQJ5zC3KCkRcYAtrVPQme0G_LygY3U4WX7IBumh24B72kerBXGAwsRh5jwtdZ4LOwaCJ5FX0JAgPm_s_-aj7Qlq4k405Ijab_Q_3q-N1eb3FYSypYKd3&__tn__=%2CO%2CP-R,"عرسا اتلد م سيا سر - 74 .2 “; 2 ا - لله ١‏ ا L o‏ 1 ; < 0 لْْ__ت_ P ‘f‘f 0‏ - ) = 4 م 6١‏ A N «7 | 1‏ 1 o‏ ! ال , وَلشَاقة مكال0 خلافا 4'gls‏ سنوات بعفو آل معوضة عن قاتل ابتهم لوجم اننم"
pfbid02iskvXoCBzpVbgFxhdQ8NJru8z9WEzefnYkdbCf2qARsKV2FvHeExjvEB6t42x3Y3l,Alhadath Yemen الحدث اليمني,1,1,مركز الملك سلمان للإغاثة يوزع مساعدات غذائية وإيوائية لسكان جزيرتي عبدالكوري وسمحة في أرخبيل سقطرى#الحدث_اليمني,2023-11-12:21:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 1 7 7 7 7 4 _ 2 8 8 9 3 2 3 9 3 4 7 0 4 4 6 _ 5 4 3 9 6 7 2 8 2 4 1 4 6 6 9 5 2 7 4 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = l q N X 3 u b 1 x H I A X 9 9 X 2 Y Q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B u U E 5 6 8 s w N 6 i S q U w i M 0 S Z Z m X x S S i P s V _ H v T m l s 0 G 7 Q X g & o e = 6 5 5 6 7 8 5 D,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02iskvXoCBzpVbgFxhdQ8NJru8z9WEzefnYkdbCf2qARsKV2FvHeExjvEB6t42x3Y3l?__cft__[0]=AZXNedHSNEVXzQJISmyfh7i9wRrNL5LxA5IOhF8MtWw6TpecWP4CJZi59pBmPuXps0vKI9MLYQ1pSjWPPRlytVhCEIEQZtWLCL-xrK5LvJKQmJ9gbS00Sd8tll8Vza2XXBo3jMcKdVG1AgbJpzYvXm2g59e4RCw-iFB9AhoSb30Iezby4nBil7h7GIusfop-4JzLFvJYueSU24bHtc0NJ4LL&__tn__=%2CO%2CP-R,- e‏ e e‏ | —— فر 'y‏ زو ا اك B‏ كنا ب T ”?‏ ححا مساعدات لأهالي جزيرتي عبدالكوري وسمحة
pfbid05S7gvyBtoNHie3P4vkJ4ZvuP5hGpERgocjsiFpWjSQGzez612rhP6MmLaSVYSeshl,Alhadath Yemen الحدث اليمني,0,0,مستشفى الشفاء محاصر بالدبابات والقذائف الإسرائيلية وسط مخاطر محدقة بآلاف المرضى والنازحين والطواقم الطبية المتواجدين فيه #الحدث_اليمني,2023-11-12:20:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 9 8 4 3 0 2 5 _ 8 7 7 2 5 0 4 7 0 3 1 7 2 8 8 _ 7 6 6 9 5 7 7 9 7 0 6 6 4 2 4 9 1 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 5 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = G h B o 0 d 1 8 4 C Y A X _ 2 v R 1 b & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D _ a H A k A g i j K 6 x 3 R Q 1 W u e C 1 d w I r E b 0 2 E F 7 4 N 2 u r x 0 Y r D A & o e = 6 5 5 7 1 F 4 7,https://www.facebook.com/AlHadath.Yemen/posts/pfbid05S7gvyBtoNHie3P4vkJ4ZvuP5hGpERgocjsiFpWjSQGzez612rhP6MmLaSVYSeshl?__cft__[0]=AZX7r5KyxNMrfHDEAVq5VK0TKANu_iV8rCvnTk7X9Mui9lBQ8eef2HqU425jchIMHO0zJDZ-7Q1AdJpygfc8URFEoeBJJApd58M7Zn07vExbNsauAcisUESVaNw7hEQXIDlabUJXk6Z0NxhGNOwLt9Emyxwq0nKeoH45yenOAb2vNzi9ZeQ1vdRFsXPYn_wxxsC4XQm1Qt9LMhPabKcllWDs&__tn__=%2CO%2CP-R,"T -‏ > 6 د . ير & oAy‏ 7 .دل اق مستشفى الشفاء ""تحت القصف والحصار"
pfbid02JjFKSnUNaz2fURXCvUHiLDFQngHeQPEcCQxtnoGt2raeMTp1RMXofiokV74Qb1eSl,Alhadath Yemen الحدث اليمني,0,11,"#عدن | رئيس الوزراء معين عبدالملك يحضر فعالية إطلاق تقرير المسح العنقودي متعدد المؤشرات التي أقامها الجهاز المركزي للإحصاء ومنظمة ""يونيسف"" ويؤكد حرص الحكومة على التعاون مع المجتمع الدولي والمانحين لردم فجوة التنمية في البلاد التي تسببت بها #ميليشيات_الحوثي#الحدث_اليمني",2023-11-12:20:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 0 4 7 9 1 5 1 _ 6 5 7 2 9 7 9 7 3 1 8 4 8 9 6 _ 2 6 9 3 2 1 0 7 9 2 2 7 2 6 1 6 8 9 4 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 0 2 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = - j q v r t N O O a U A X _ V 0 8 L L & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A F g 2 H z o i P y N c b q A n u 9 8 G r 3 K o L P O 4 l E 7 L b w E b 7 k 8 L R T p A & o e = 6 5 5 5 F 6 9 E,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02JjFKSnUNaz2fURXCvUHiLDFQngHeQPEcCQxtnoGt2raeMTp1RMXofiokV74Qb1eSl?__cft__[0]=AZULowZc46VypYryBrFOfQru4uwe--cP8G82B19aW0MiW9lb45j0Tpsur5yN_-87vMAeZ1DWt67HUhbIJ9cUvtrd2mnZt7O3SyOlFa_4wXbwFmxDSOUBbpDVj2yoEtoGc8BmE1PfYLWmVNk2tCsX_Z2xkJT3cd_aI1Uw6TWmwGtOjrJakCzNBBXzTTnIKvMkFRPSl6WDXViLHp-ulJ1-5-Z6&__tn__=%2CO%2CP-R,"A _ الب ابر‎ ""ِ مار ل مب‎ لا ا امي‎ 7 و اد ادم ال‎ د م م‎ (e v ا‎ 1 1 | ‘% g ابلا‎ بات تؤكد حم صه ا 74خ‎ فجوة التنمية في البلاد‎"
pfbid02YT4WWPaymtai7gsqLUAoZxcaoT3bgNfGSWnjF8erCSjkjLHLAHssdkHs4J3uQ6QEl,Alhadath Yemen الحدث اليمني,2,11,محافظ سقطرى وقائد قوات الدعم والإسناد في تحالف دعم الشرعية يزوران جزيرة عبد الكوري ويطلعان على احتياجات سكانها#الحدث_اليمني,2023-11-12:18:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 7 9 9 0 1 5 9 _ 3 5 2 9 1 7 7 6 7 2 1 1 9 4 2 _ 9 0 6 3 7 8 8 6 9 2 9 0 0 8 3 2 4 9 1 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 9 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = I x 8 R g g X e T j s A X 9 i R 8 i Z & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D L G O o H F L k T H W P u v 3 F 8 F C m Q c G X u q B 4 C B 4 h s R y X Z u R 0 z b Q & o e = 6 5 5 6 F 7 E 4,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02YT4WWPaymtai7gsqLUAoZxcaoT3bgNfGSWnjF8erCSjkjLHLAHssdkHs4J3uQ6QEl?__cft__[0]=AZWmbgn21R93CY7Uytaf90tRKqQKjlSEvFt2uAwW3NvVxwX6z45p6hci_YxXhLM9EikKBlUIBsEwx4T6bjKfncFFRvagWRR_dXReDmiS3yb8iLEOlxWtGkCWQVRWeAomcUn_Zr7SfrEwB_5OPSgUkPoiFi5ZD3hWwBLiR1L7oPoq0P8qcEOvhHJ4gM4eBvkZRz-E_RuAZFkSxygnahU7FVJC&__tn__=%2CO%2CP-R,"° وض g‏ أرب ف رخ م و َ, با وال - : 0 جزيرة عبدالكوري"
pfbid0bFgAyPHZYwrG8RdKNUrVA39smcvHYqr1W2gZsEg6meG1ZLH7msgNAHAtRW4MGpn8l,Alhadath Yemen الحدث اليمني,1,3,"رئيس بعثة ""أونمها"" يشيد بجهود فرق نزع الألغام جنوب #الحديدة: إنهم ينقذون حياة الناس #الحدث_اليمني",2023-11-12:18:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 7 1 4 9 1 6 8 0 _ 2 1 1 7 5 6 6 0 5 2 7 8 4 0 8 _ 5 1 3 6 3 0 9 5 8 6 4 7 1 4 8 1 6 6 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 3 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = 9 W f s 8 j O 6 e o Q A X 8 d 8 5 b 3 & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D N K n g 1 5 r O 7 X x k F t U b x 5 O e 3 i D Z O j u x U 7 w d B Z W 1 I e i P N P Q & o e = 6 5 5 7 0 3 E 0,https://www.facebook.com/AlHadath.Yemen/posts/pfbid0bFgAyPHZYwrG8RdKNUrVA39smcvHYqr1W2gZsEg6meG1ZLH7msgNAHAtRW4MGpn8l?__cft__[0]=AZXjLHZwJV2NSf5mjCJt9TslqTk164btE1nDT4_K2RRyod9YVVY-1Pk7La-v7WDdo-mKxffWGNIkTGPraNP3HEMp72RaFV5haL5Qf9DKRqw8lDFQ4EOkcw8AmA3ripCDa8_E4OZhjg1h2mNPBW-cyHlf4yIRZm3QkTHnhAkJQUoWOY0kOZ6trhBdyvI_bsKKIirL3VUdlbWbalPnseNDG9lw&__tn__=%2CO%2CP-R,"] b ¢‏ . : و Nl‏ تا ’ ! "" / 0 7 1 7 ¥ ل ‘ Al N‏ \\m\\\\\\\‏ . 1 رئيس Aley‏ أونمها يشيد بمشروع ""مسام"" | 3 7 |"
pfbid0Mgi2UxfbihmH7p37ntdU8k11pcwpf8hsj2bKEXJeMkAsGkoRmKCUvBf2nMRPyHT6l,Alhadath Yemen الحدث اليمني,2,4,"رئيس بعثة الأمم المتحدة ""أونمها"" مايكل بيري يزور فرق نزع الألغام التابعة للمشروع السعودي #مسام والقوات المشتركة جنوب #الحديدة#الحدث_اليمني",2023-11-12:17:46,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 2 2 4 3 7 3 _ 3 5 7 1 5 0 7 2 5 3 0 9 1 1 7 7 _ 6 3 2 8 6 3 1 6 5 2 2 6 3 4 9 1 0 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = L Z s - m g 8 b i K U A X 8 x 9 w x q & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f A s - K 4 Z u e h 2 7 u S f c 3 F O H B d 7 W f f r Z d T x h D w k b 8 N J h I O s o w & o e = 6 5 5 5 9 B 6 5,https://www.facebook.com/AlHadath.Yemen/posts/pfbid0Mgi2UxfbihmH7p37ntdU8k11pcwpf8hsj2bKEXJeMkAsGkoRmKCUvBf2nMRPyHT6l?__cft__[0]=AZVdJNwWde-E2cJ4vhR_copQbZZlHqNYjbBF-wf-iy8o9hwAoTA0F6FR2foRsgDH2TTDyVdZlfpOnsW5x0wKgPGV3Q96NHBc5Y1Kmnnw-7rKsf6t4tOnASKhhGCnSAUm9WlfgFviZ9gKD2_wkXvXIXC-ccXK-NsNEgo4gpW7y6QbP2oa-DfUf9uyJ5m7yOiGecT74417ANlZJej2sHC05hy7&__tn__=%2CO%2CP-R,"مجم e Oz la il‏ RAPL‏ المج ot‏ 4 "" ريا ب 1 7 . , اله i‏ f R .‏ 19 9 بر ادم ""زوز أن - ٍ 1 على جهود نزع الألغام"
pfbid032xPknaX4N3Bq2zRB7zEbZS6E785e7o2J3DUoYoWpFEyqrdAUjwDZCa3HQq62JFdJl,Alhadath Yemen الحدث اليمني,0,0,خفر السواحل اليمنية بقطاع البحر الأحمر: غرق قارب على متنه 75 مهاجراً من جنسيات أفريقية قبالة سواحل المخاخفر السواحل: إنقاذ 26 مهاجراً ممن كانوا على متن القارب و 49 آخرين في عداد المفقودين خفر السواحل: رياح عاتية تسببت بغرق القارب  خفر السواحل: دورياتنا وفرق الغوص تواصل عمليات البحث والإنقاذ وتقديم الرعاية للناجين#الحدث_اليمني,2023-11-12:17:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 8 4 8 7 3 4 _ 6 5 7 2 3 3 9 9 6 5 2 4 6 2 7 _ 7 7 7 1 6 3 2 4 7 6 9 9 6 2 6 8 6 1 6 _ n . j p g ? s t p = d s t - j p g _ p 5 2 6 x 2 9 6 & _ n c _ c a t = 1 0 8 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = J Z J 7 Y 9 0 P l d c A X 9 1 4 y A V & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B E - E i 5 M w 3 L e i o T E z Y j y m p 2 I D k E a D q P 6 q Q 6 D a J O Z l 6 t Y w & o e = 6 5 5 6 4 D 9 9,https://www.facebook.com/AlHadath.Yemen/posts/pfbid032xPknaX4N3Bq2zRB7zEbZS6E785e7o2J3DUoYoWpFEyqrdAUjwDZCa3HQq62JFdJl?__cft__[0]=AZV8EeRUxCX95IaD5zGZwPQr3YenKW4u2Zdeahdh-jL0Kzonb9cZ4DeJn_AJakRMDl0FfnuKJw3s9toKvqc66rh8GKJEhnyTxJ3JfRCbz30n18pDbz96O2TTYXqmyaKX2Qi-tT35zlq8JwlfinwRq8FRrIRvcdo805xo39LS5YvIVF-d2-XtQKHOPphqCFxDBQvp9O-s5TL0QNxDXcft53Vd&__tn__=%2CO%2CP-R,دبج حا حص م ا 3 خفر الستواضل اليمتية بقطاع البحر الأحمر: غرق قارب على متنه 75 مهاجرا قبالة سواحل المخا
pfbid027oPgDGMLVT9NnfBEqVMKxUJYQy55SX42De9VwHVrwEpHurrjKpiJGS8y5TeXfkNPl,Alhadath Yemen الحدث اليمني,0,0,"أول اجتماع لها بالمناطق المحررة.. بعثة الأمم المتحدة لدعم اتفاق الحديدة ""أونمها"" تلتقي في #الخوخة الفريق الحكومي في لجنة إعادة الانتشار#الحدث_اليمني",2023-11-12:17:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 8 5 5 3 4 7 6 3 _ 1 8 2 9 1 1 3 4 4 8 1 6 9 6 1 _ 7 5 9 5 8 8 8 0 9 4 1 8 2 4 3 4 9 9 0 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 0 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = u B G e p g l C b y M A X _ 5 6 Q W x & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f C y _ U s Z 5 9 G q C L 2 1 q u I 6 s 8 4 2 k T 7 d u a s s T 6 T C e C 5 X n C h O S w & o e = 6 5 5 6 9 4 C 2,https://www.facebook.com/AlHadath.Yemen/posts/pfbid027oPgDGMLVT9NnfBEqVMKxUJYQy55SX42De9VwHVrwEpHurrjKpiJGS8y5TeXfkNPl?__cft__[0]=AZUlJY9R9KmQqh_YmSW09JSIfOcJO7wHscazqoHUtjGBdNL7r_kV3uJbIfDIic3VayQpy1jY6ix14O5cVHxYgI3YNUN01jcgrWlBWrsvUtDgFr6eLCGiNNahBQLRXfK6zifgZo0RW2a4C19MWT4KK1rLo_y1r8tZIStM2VjaG9AsvSAHlEGrGwc06vL61-vl1KqCJSBqWfHJxl_iHr0qN98N&__tn__=%2CO%2CP-R,"| A م0‎ 0 ,‘,/ 4 ل .| ذا يل = Y‏ ال ل . 7 © — رئيس بعثة ""أونمها"""
703585918370621,Alhadath Yemen الحدث اليمني,0,0,"#الحدث_بالمختصر  #حماس تكشف أين وصلت مفاوضات تبادل الأسرى  #إسرائيل تضرب ""قلب"" الشفاء في #غزة  صور جديدة لجيش #إسرائيل بين الركام",2023-11-12:16:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 3 9 0 3 7 5 _ 2 4 4 9 6 1 6 5 2 5 2 4 5 2 6 6 _ 8 5 2 5 7 8 4 5 9 4 5 6 3 3 1 4 9 7 5 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = P 6 K G Q V I V Q D 4 A X - 1 S k r c & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f B G w P n g X x g f 0 V a P p e - t 4 b B M i F X A T I k x 9 M 4 N F z x 1 u o Z - t g & o e = 6 5 5 5 B 3 4 A,https://www.facebook.com/AlHadath.Yemen/videos/703585918370621/?__cft__[0]=AZWD_QaBYmijS1hE0b45lKwFXO97JQunzr3PaMRBlgclmRlEd-BP7UxE6ntFeBaJ8vtIiSI15gzjwc3oqsBxsS7ZansEF4Cbqz5mOna9CvammQnong7yLEn7gfVxfYaCKG_2lVDILu2PO41aHpPgPXu8lc9NIK9OzWG4Lsr4D0Bjoc_pQEl94t_8YJTOf0lfAGISm4NkJmhgKv1NFPRDlY6B&__tn__=%2CO%2CP-R,"7 D [ ey, اام الس B P‏ اهنا = \ << ع N L\ =‏ 1 74 ا S 4 d - 1 3 ١ | | ١ ل‎ 1 اط = Y\ B E 72: s . 20 ل '_(, == : ا 8 VPN ١‏ مطلوبارفي روس 1 بسبب أوكرانيا صر"
pfbid07jMNWzKqa274udZUzsGTzsharXGPiK9cHoZTrfWw52XvBP6RkGamULxA7CuNqTJCl,Alhadath Yemen الحدث اليمني,2,23,#الرياض — وزير الدفاع الفريق محسن الداعري يزور قيادة القوات المشتركة لتحالف دعم الشرعية ويناقش مع قائدها الفريق أول ركن مطلق الأزيمع التعاون المشترك ويثني على الدعم المتواصل للقوات المسلحة اليمنية#الحدث_اليمني,2023-11-12:15:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 3 9 . 3 0 8 0 8 - 6 / 4 0 1 8 4 6 5 5 7 _ 6 5 7 1 7 7 3 7 9 8 6 3 6 2 2 _ 3 1 4 0 7 9 5 1 2 1 2 9 8 6 6 1 3 8 0 _ n . j p g ? s t p = d s t - j p g _ p 4 8 0 x 4 8 0 & _ n c _ c a t = 1 0 6 & c c b = 1 - 7 & _ n c _ s i d = 5 f 2 0 4 8 & _ n c _ o h c = p C z W q t _ i 7 i U A X - m D T 6 J & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D I D N E t _ _ i h V l N U c _ M Z Q D E Q R R G w n O k 6 m t M o 1 h X z 1 I B Q Q Q & o e = 6 5 5 7 0 4 C 6,https://www.facebook.com/AlHadath.Yemen/posts/pfbid07jMNWzKqa274udZUzsGTzsharXGPiK9cHoZTrfWw52XvBP6RkGamULxA7CuNqTJCl?__cft__[0]=AZVPuGcv1fvsWbUoXPGoDXhPLdF7x67PPV4nxRkDsE-1E0cyLto2tD1t98ibEbP2iz21JaLZJhNnoACYT8sx55CejxBPvJptUJz_o33EBcAtYWf1TtAub1GiNOZ3SuRTBdePHaLy51eDIbkL1tT3bkg7umMEHYlvxFjqpDoTTB5NQYWPcj9PJU86oV-ttcrTxijlfgixE6bMm_cBfK6LPHcg&__tn__=%2CO%2CP-R,"Tl i W Tl ا ان‎ 1 & 10 i ‘i‘ 1 ٍ كوا قو نا‎ ذا‎ A el ان ا‎ ا ا ا ال‎ له ذا‎ [ 3 _.- Al A LIRSS i % ] R 1 LB | الحدت المت‎ # 2 , ا""‎ aaldli ته يزور‎ 3 6 كفي الرياش‎"
pfbid02YAa3hnd1bDfWwqvh57ow92UZLRBpu8w4NLemZ56QKRaEod5a3UtDUkAf4biMMb8Sl,Alhadath Yemen الحدث اليمني,6,5,تفاصيل صادمة وحصرية.. جريمتان في ذمار والجوف القتلة والضحايا فيهما من أسرة واحدة#الحدث_اليمني,2023-11-12:15:47,h t t p s : / / s c o n t e n t . f t u n 1 5 - 1 . f n a . f b c d n . n e t / v / t 1 5 . 5 2 5 6 - 1 0 / 3 6 8 4 4 1 6 2 2 _ 3 4 3 4 0 7 4 4 7 6 8 5 7 9 3 6 _ 9 0 7 1 5 6 9 7 6 2 8 6 2 2 2 8 7 6 2 _ n . j p g ? s t p = d s t - j p g _ s 9 6 0 x 9 6 0 & _ n c _ c a t = 1 0 1 & c c b = 1 - 7 & _ n c _ s i d = 1 a 7 0 2 9 & _ n c _ o h c = H x Y X N 2 x H z N c A X - P 1 p i B & _ n c _ o c = A Q m m l W q C t 0 p g 2 a o o H - 4 M _ W U 2 d I S 7 C e L E l Y Q 6 p - m J z a T 7 X m g S K c B H 1 3 g P 4 L c w x q 8 2 r K s & _ n c _ h t = s c o n t e n t . f t u n 1 5 - 1 . f n a & o h = 0 0 _ A f D a 9 _ H D 4 k d a v n h P c t E k T g T g N d l H l x R S J H p G 5 0 N R - B c k M A & o e = 6 5 5 6 5 4 5 8,https://www.facebook.com/AlHadath.Yemen/posts/pfbid02YAa3hnd1bDfWwqvh57ow92UZLRBpu8w4NLemZ56QKRaEod5a3UtDUkAf4biMMb8Sl?__cft__[0]=AZXWlsRYg0fBCu2ZVVsmDsampYpSnXrmiVXglu-VA-4zrvy1y2ei41ziXMHj2ts10Xnz0E0Mbwf4BamzkzxVK7ZRoXrhsjAAleKFZvxPvMwW8508D32OCEJEO9BA0GAGzO8vMsjExkzHTu8DmT9I1eKzI83EOSVxVt8-hONcHztuGJ2w5PHGheolWaIRGtRIlgrNp3i4gIML1UpsG2eMwN7q&__tn__=%2CO%2CP-R,7 ¢ ! ) ِ و 3 & / | جريمتان صادمتانل القئلة والضحايا أقارب
